"family_id","parent_ht"
"F1",74.5
"F2",74.5
"F3",74.5
"F4",74.5
"F5",73.5
"F6",73.5
"F7",73.5
"F8",73.5
"F9",73.5
"F10",73.5
"F11",73.5
"F12",73.5
"F13",73.5
"F14",73.5
"F15",73.5
"F16",73.5
"F17",73.5
"F18",73.5
"F19",73.5
"F20",73.5
"F21",73.5
"F22",73.5
"F23",73.5
"F24",72.5
"F25",72.5
"F26",72.5
"F27",72.5
"F28",72.5
"F29",72.5
"F30",72.5
"F31",72.5
"F32",72.5
"F33",72.5
"F34",72.5
"F35",72.5
"F36",72.5
"F37",72.5
"F38",72.5
"F39",72.5
"F40",72.5
"F41",72.5
"F42",72.5
"F43",72.5
"F44",72.5
"F45",72.5
"F46",72.5
"F47",72.5
"F48",72.5
"F49",72.5
"F50",72.5
"F51",72.5
"F52",72.5
"F53",72.5
"F54",72.5
"F55",72.5
"F56",72.5
"F57",72.5
"F58",72.5
"F59",72.5
"F60",72.5
"F61",72.5
"F62",72.5
"F63",72.5
"F64",72.5
"F65",72.5
"F66",72.5
"F67",71.5
"F68",71.5
"F69",71.5
"F70",71.5
"F71",71.5
"F72",71.5
"F73",71.5
"F74",71.5
"F75",71.5
"F76",71.5
"F77",71.5
"F78",71.5
"F79",71.5
"F80",71.5
"F81",71.5
"F82",71.5
"F83",71.5
"F84",71.5
"F85",71.5
"F86",71.5
"F87",71.5
"F88",71.5
"F89",71.5
"F90",71.5
"F91",71.5
"F92",71.5
"F93",71.5
"F94",71.5
"F95",71.5
"F96",71.5
"F97",71.5
"F98",71.5
"F99",71.5
"F100",71.5
"F101",71.5
"F102",71.5
"F103",71.5
"F104",71.5
"F105",71.5
"F106",71.5
"F107",71.5
"F108",71.5
"F109",71.5
"F110",71.5
"F111",71.5
"F112",71.5
"F113",71.5
"F114",71.5
"F115",71.5
"F116",71.5
"F117",71.5
"F118",71.5
"F119",71.5
"F120",71.5
"F121",71.5
"F122",71.5
"F123",71.5
"F124",71.5
"F125",71.5
"F126",71.5
"F127",71.5
"F128",71.5
"F129",71.5
"F130",71.5
"F131",71.5
"F132",71.5
"F133",71.5
"F134",71.5
"F135",70.5
"F136",70.5
"F137",70.5
"F138",70.5
"F139",70.5
"F140",70.5
"F141",70.5
"F142",70.5
"F143",70.5
"F144",70.5
"F145",70.5
"F146",70.5
"F147",70.5
"F148",70.5
"F149",70.5
"F150",70.5
"F151",70.5
"F152",70.5
"F153",70.5
"F154",70.5
"F155",70.5
"F156",70.5
"F157",70.5
"F158",70.5
"F159",70.5
"F160",70.5
"F161",70.5
"F162",70.5
"F163",70.5
"F164",70.5
"F165",70.5
"F166",70.5
"F167",70.5
"F168",70.5
"F169",70.5
"F170",70.5
"F171",70.5
"F172",70.5
"F173",70.5
"F174",70.5
"F175",70.5
"F176",70.5
"F177",70.5
"F178",70.5
"F179",70.5
"F180",70.5
"F181",70.5
"F182",70.5
"F183",70.5
"F184",70.5
"F185",70.5
"F186",70.5
"F187",70.5
"F188",70.5
"F189",70.5
"F190",70.5
"F191",70.5
"F192",70.5
"F193",70.5
"F194",70.5
"F195",70.5
"F196",70.5
"F197",70.5
"F198",70.5
