dyad,group,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,cogproc,insight,cause,discrep,tentat,certitude,differ,tone_pos,tone_neg,emotion,emo_pos,emo_neg,Social,socbehav,socrefs
103,friend,2649,2.93,7.59,97.18,38.85,16.35,11.4,90.9,85.01,68.25,24.31,15.44,10.38,1.09,2.08,18.23,4.57,1.36,2.53,5.17,1.43,5.17,2.27,0.98,1.47,0.72,0.64,9.63,2.45,7.02
104,stranger,4191,16.16,9.62,90.63,56.33,17.04,13.53,89.93,79.05,63.3,19.83,12.38,8.73,0.14,2.55,20.54,4.53,1.26,3.15,6.75,1.79,4.77,3.1,0.79,1.57,0.81,0.5,8.33,2.08,5.97
105,stranger,4752,9.28,30,77.75,77.22,16.62,11.85,89.81,81.12,65.34,19.17,11.62,6.97,1.03,2.38,16.62,4.44,1.49,1.6,4.4,2.13,4.29,4.42,0.74,1.89,1.47,0.25,10.16,2.25,7.83
106,stranger,3920,10.91,19.11,95.63,67.64,14.15,12.02,90.08,81.2,65.54,22.32,13.47,8.72,0.38,3.34,17.65,4.59,1.25,1.89,6.1,1.51,4.44,3.6,0.59,1.94,1.53,0.31,10.69,2.65,7.68
107,stranger,4406,12.82,12.15,93.8,56.73,14.12,12.28,88.61,79.07,63.98,20.63,13.25,8.99,0.52,2.25,17.11,4.27,1.66,1.41,5.63,2.2,3.7,3.34,1,1.57,0.82,0.68,8.65,2.16,6.22
108,stranger,4642,10.32,12.64,89.5,61.57,19.59,11.87,92.2,81.73,66.67,22.25,13.83,9.74,0.32,2.28,19.09,5.02,1.64,2.95,5.13,1.83,4.63,3.47,0.84,1.74,1.08,0.52,11.5,3.47,7.91
109,friend,4273,7.29,8.51,92.83,62.22,10.66,10.11,89.94,83.27,65.11,21.18,14.35,9.17,0.94,2.6,18.21,5.03,0.96,3.35,3.7,1.73,5.31,3.44,0.77,1.22,0.84,0.23,10.18,3.02,7.09
111,stranger,4340,4.03,8.4,84.19,67.06,14.56,11.77,91.15,81.01,66.41,22.72,15.25,10.6,0.53,1.84,18.16,4.54,1.64,2.53,4.7,2.3,4.52,3.87,0.9,1.84,1.22,0.51,11.47,3.27,7.53
112,stranger,4619,7.72,3.85,96.74,57.11,13.59,11.24,92.7,82.79,66.36,21.67,14.61,11,0.74,1.65,20.05,5.02,1.32,2.34,5.72,2.86,4.89,3.38,1.02,1.32,0.84,0.45,9.46,2.75,6.69
113,friend,4475,2.92,3.42,94.8,53.47,13.24,12.16,91.24,82.68,65.43,21.9,15.6,11.93,0.63,1.41,17.97,4.98,1.3,2.66,3.49,2.37,4.58,3.58,1.43,2.41,1.34,0.83,10.41,3.55,6.61
