dyad,group,r2_vox,isc_vox_before,isc_vox_after
104,stranger,0.091228016,0.010604604,0.040762275
105,stranger,0.087952495,0.003933239,0.121951334
107,stranger,0.100197904,0.008757949,0.07218328
108,stranger,0.106719814,-0.001116502,0.09059389
109,friend,0.12656714,0.003087785,0.09809958
113,friend,0.10883361,0.004981601,0.06835815
114,stranger,0.12067994,0.007759424,0.057100523
116,stranger,0.113253914,0.003475443,0.15015855
117,stranger,0.10827008,0.005487111,0.017269148
120,stranger,0.12505497,-0.002458563,0.078666456
121,friend,0.10615926,0.000571117,0.2250903
122,stranger,0.09679747,0.005318621,-0.004451045
123,stranger,0.09226298,0.004272147,0.02788544
126,stranger,0.121465735,0.00198205,-0.017129468
127,friend,0.1245368,-0.000568204,0.030372135
128,stranger,0.103790104,0.00948864,0.1930786
129,stranger,0.09762024,0.005288151,0.02731239
130,friend,0.10799887,-0.001380641,0.00337851
131,stranger,0.10172979,0.001033808,-0.08276499
132,stranger,0.11756386,0.003518364,0.08110869
133,stranger,0.12048448,0.00492719,0.10470816
134,friend,0.11372172,0.003704417,0.040364727
137,stranger,0.11374362,8.93E-05,0.12925869
138,stranger,0.12012347,0.004406119,-0.023033358
142,stranger,0.11479253,0.001013033,0.01341621
145,friend,0.12279828,0.008443985,0.044080082
146,friend,0.11581265,0.004831221,0.114088856
147,friend,0.1152449,-0.001684406,-0.03143386
150,friend,0.12402624,0.012831675,0.063760266
152,friend,0.11491622,0.012786461,0.068512924
153,stranger,0.11242697,0.010022218,0.07879466
154,friend,0.11775745,0.011229005,0.17622012
155,friend,0.11218463,0.003463615,0.015002062
156,stranger,0.09268572,0.002551673,0.005898729
157,stranger,0.09701058,-0.006345541,-0.0159083
158,stranger,0.10766871,0.009132169,0.04888933
159,friend,0.11648973,0.001486464,0.029071998
160,friend,0.1156973,0.002011545,-0.0377994
161,friend,0.11202995,-0.00235168,0.16723648
162,friend,0.10930333,0.001371795,-0.004279741
163,stranger,0.11401989,0.009421747,0.09249928
164,friend,0.10716643,0.004472675,0.04604027
165,friend,0.1009422,0.000814009,0.007083813
166,friend,0.12004588,0.001597711,-0.021837516
167,friend,0.1330755,0.004454764,0.089802645
169,friend,0.11411726,0.010982523,0.09113134
170,friend,0.09607836,0.007902018,0.14848028
172,friend,0.12388791,-0.002589708,0.060803257
173,friend,0.1316712,-0.000460451,0.007809541
174,stranger,0.09274431,0.001669838,0.12874573
175,friend,0.09842239,-0.009252392,0.03906947
