dyad,group,trial,r2_vox,isc_vox_before,isc_vox_after
104,stranger,1,0.0932325,0.012021177,0.030300137
104,stranger,2,0.08911348,-0.006024868,0.006893663
104,stranger,3,0.08815298,0.027430391,0.0716226
104,stranger,4,0.092304006,0.016120372,0.052389953
104,stranger,5,0.094893456,0.014302196,0.05613644
104,stranger,6,0.08829562,0.01723676,0.03488487
104,stranger,7,0.087969445,-0.000451703,0.030810528
104,stranger,8,0.08812622,0.002463805,0.029745009
104,stranger,9,0.08784344,0.008599903,0.047969405
104,stranger,10,0.08639716,0.014669039,0.0441851
105,stranger,1,0.08164962,0.017329045,0.13224278
105,stranger,2,0.07975414,0.009809093,0.13628662
105,stranger,3,0.09462953,-0.018146403,0.11264059
105,stranger,4,0.096894026,0.016844753,0.13859423
105,stranger,5,0.09140851,-0.00586484,0.11807368
105,stranger,6,0.07807391,0.000600674,0.11156829
105,stranger,7,0.09230691,0.01285468,0.12522635
105,stranger,8,0.08043538,0.004754367,0.11783541
105,stranger,9,0.08541181,0.007343951,0.12777062
105,stranger,10,0.08688877,-0.005136509,0.09555002
107,stranger,1,0.09390205,0.01430278,0.080168456
107,stranger,2,0.08796105,-0.009923669,0.04618008
107,stranger,3,0.10390108,0.022413582,0.099801674
107,stranger,4,0.09185955,-0.003846135,0.047731712
107,stranger,5,0.0968341,0.016611239,0.095465496
107,stranger,6,0.104667276,0.00163445,0.038401216
107,stranger,7,0.100364015,0.018182619,0.096441366
107,stranger,8,0.10441567,0.022588111,0.09739348
107,stranger,9,0.09045303,-0.009907143,0.033229455
107,stranger,10,0.10953719,0.01285376,0.06982176
108,stranger,1,0.102565475,0.004345597,0.10615807
108,stranger,2,0.1065487,-0.010186717,0.07561489
108,stranger,3,0.10139217,-0.005168276,0.09996446
108,stranger,4,0.10395616,-0.0157933,0.0680473
108,stranger,5,0.106934294,-0.01159714,0.08817273
108,stranger,6,0.10158533,0.00330249,0.08850722
108,stranger,7,0.10347115,0.015700597,0.10597404
108,stranger,8,0.1124036,0.008682434,0.088975504
108,stranger,9,0.10034766,0.003863473,0.09550357
108,stranger,10,0.11123034,-0.005399179,0.08472593
109,friend,1,0.12788938,0.003298377,0.09353427
109,friend,2,0.13397472,0.007275367,0.097129166
109,friend,3,0.124491476,-0.01671966,0.07984241
109,friend,4,0.12590428,-0.011136694,0.07579405
109,friend,5,0.12491261,0.008718153,0.10287059
109,friend,6,0.12058399,0.022410605,0.12262505
109,friend,7,0.11981324,-0.009841748,0.10110047
109,friend,8,0.1278298,0.018467931,0.12195373
109,friend,9,0.12122028,0.016504614,0.09304963
109,friend,10,0.123207964,-0.007004188,0.08921563
113,friend,1,0.10850969,-0.015283402,0.07896972
113,friend,2,0.110910915,0.002665921,0.080658525
113,friend,3,0.105221845,0.002717949,0.054086637
113,friend,4,0.104783,0.019319743,0.08139881
113,friend,5,0.10264445,-0.008647511,0.038907588
113,friend,6,0.098789506,0.020684598,0.06592508
113,friend,7,0.105675936,0.00667971,0.08603607
113,friend,8,0.11681017,0.006093356,0.07363192
113,friend,9,0.11944491,0.015398198,0.06540602
113,friend,10,0.10148212,0.00221146,0.056235727
114,stranger,1,0.11917081,0.00454424,0.058690894
114,stranger,2,0.10897361,0.020328397,0.07321777
114,stranger,3,0.113920875,0.010007642,0.053817313
114,stranger,4,0.12017314,0.014829961,0.07128864
114,stranger,5,0.11730749,-0.002236115,0.032957368
114,stranger,6,0.13126677,-0.007001942,0.061336376
114,stranger,7,0.117153905,0.016831983,0.0780496
114,stranger,8,0.11547563,0.010009101,0.05624186
114,stranger,9,0.11677973,0.017376602,0.06466564
114,stranger,10,0.13107553,-0.006174758,0.023772508
116,stranger,1,0.09626738,-0.016489869,0.13366342
116,stranger,2,0.09867413,0.021895185,0.18054503
116,stranger,3,0.10032733,0.000150698,0.15799071
116,stranger,4,0.11497788,0.006955558,0.13679667
116,stranger,5,0.114475094,-0.00310843,0.15125802
116,stranger,6,0.13133931,0.022814129,0.16866075
116,stranger,7,0.12250172,0.021677176,0.15478113
116,stranger,8,0.115526624,-0.004042795,0.14297162
116,stranger,9,0.11396885,0.015281297,0.15724012
116,stranger,10,0.1098725,-0.030525899,0.10018639
117,stranger,1,0.11107351,0.001655037,0.02008435
117,stranger,2,0.10264413,0.005404562,-0.008921428
117,stranger,3,0.10640208,0.020097643,0.0307011
117,stranger,4,0.096102245,0.016232187,0.03375335
117,stranger,5,0.115987755,0.003344585,0.01990949
117,stranger,6,0.11083732,-0.003640787,0.004367672
117,stranger,7,0.11081163,-0.011593284,0.001255313
117,stranger,8,0.10470929,0.02485371,0.06164205
117,stranger,9,0.10987283,0.00122459,0.005569867
117,stranger,10,0.101841986,-0.002459458,-0.000577955
120,stranger,1,0.109481655,-0.022869723,0.047892697
120,stranger,2,0.10368829,-0.007432284,0.059229843
120,stranger,3,0.123505354,0.012769114,0.10404494
120,stranger,4,0.12023501,-0.00563834,0.07216503
120,stranger,5,0.12841767,0.005261648,0.09119962
120,stranger,6,0.1313832,-0.003283713,0.0751532
120,stranger,7,0.12873727,0.001943758,0.08360683
120,stranger,8,0.13396007,-0.010218854,0.06791374
120,stranger,9,0.13686378,0.003711993,0.08125196
120,stranger,10,0.1202154,0.002891669,0.09456474
121,friend,1,0.08344028,-0.011939995,0.19624022
121,friend,2,0.09360214,0.000932561,0.22290625
121,friend,3,0.088601224,-0.005610335,0.21445324
121,friend,4,0.10270062,-0.014718724,0.21408817
121,friend,5,0.09322694,-0.003768473,0.19612798
121,friend,6,0.089699686,-0.006987489,0.2126603
121,friend,7,0.13096638,0.015573286,0.24655394
121,friend,8,0.12640049,-0.00204397,0.21327728
121,friend,9,0.115222394,0.022974461,0.2577469
121,friend,10,0.124753,0.010420393,0.25064638
122,stranger,1,0.100559294,0.007843181,-0.012469626
122,stranger,2,0.10222246,0.006660732,-0.009061411
122,stranger,3,0.09749583,0.007015465,-0.010925086
122,stranger,4,0.087609775,0.00784181,-0.00592252
122,stranger,5,0.09179236,-0.010969641,-0.033011448
122,stranger,6,0.08988206,0.006698643,0.017212398
122,stranger,7,0.09551325,0.005097475,0.011628365
122,stranger,8,0.09182152,0.015827103,0.016100153
122,stranger,9,0.09385429,0.013753334,0.003132642
122,stranger,10,0.101833045,-0.006815038,-0.018541582
123,stranger,1,0.09087648,0.012711059,0.041291866
123,stranger,2,0.08124111,-0.001618539,0.020489996
123,stranger,3,0.086675905,0.008856621,0.031759527
123,stranger,4,0.08508981,0.012827008,0.04580825
123,stranger,5,0.09669766,-0.020160954,-0.020102689
123,stranger,6,0.088169426,0.014234377,0.048759397
123,stranger,7,0.0914793,-0.008074855,0.002025841
123,stranger,8,0.09420212,0.002993044,0.019446526
123,stranger,9,0.09407316,0.014647782,0.057588615
123,stranger,10,0.10023136,0.005760401,0.032825667
126,stranger,1,0.11429394,0.007155604,-0.001046927
126,stranger,2,0.12308588,-0.019107427,-0.04163645
126,stranger,3,0.09837478,0.007226543,-0.004323132
126,stranger,4,0.110232145,0.017955376,0.006186417
126,stranger,5,0.13993497,-0.008845829,-0.04120853
126,stranger,6,0.13101086,0.0015485,-0.024250515
126,stranger,7,0.11533061,0.00190891,-0.014685358
126,stranger,8,0.11610535,0.010049267,-0.008723202
126,stranger,9,0.12789625,0.012892677,0.00149814
126,stranger,10,0.12021217,-0.007909908,-0.026868697
127,friend,1,0.14410026,0.006959003,0.01503422
127,friend,2,0.11932329,-0.011503579,0.025010828
127,friend,3,0.11124715,0.004514311,0.028199237
127,friend,4,0.12544888,0.010873784,0.03404054
127,friend,5,0.11536254,-0.033549298,-0.002154052
127,friend,6,0.109862074,0.004123016,0.030899605
127,friend,7,0.12310055,0.000534654,0.05756003
127,friend,8,0.12663215,-0.016780037,0.012740306
127,friend,9,0.123858675,0.010539003,0.059368636
127,friend,10,0.12949859,0.018114386,0.033436093
128,stranger,1,0.0966603,0.011762357,0.17750862
128,stranger,2,0.0963969,0.018228145,0.21442077
128,stranger,3,0.09308117,0.003738169,0.19557634
128,stranger,4,0.098851785,0.005416104,0.20033938
128,stranger,5,0.11715356,0.02174294,0.21997131
128,stranger,6,0.09433155,-0.001169137,0.15652804
128,stranger,7,0.113535546,0.028479593,0.23074263
128,stranger,8,0.11015242,0.017695159,0.20256458
128,stranger,9,0.09857292,-0.007204997,0.15522182
128,stranger,10,0.10550942,-0.005055531,0.16206163
129,stranger,1,0.0849388,-0.005881333,0.030010361
129,stranger,2,0.10161277,0.01352878,0.04153648
129,stranger,3,0.08711406,0.027849175,0.04202202
129,stranger,4,0.1030638,0.008348179,0.017388772
129,stranger,5,0.09212118,-6.37E-05,0.018651413
129,stranger,6,0.098722965,0.00502561,0.035760343
129,stranger,7,0.10412316,0.003078786,0.022374542
129,stranger,8,0.09302874,-0.002294026,0.031936068
129,stranger,9,0.09979546,0.001947792,0.018655477
129,stranger,10,0.09569846,0.001421968,0.012869929
130,friend,1,0.09636053,-0.009341617,-0.002221579
130,friend,2,0.102544986,0.011910689,0.01266026
130,friend,3,0.095459916,0.017594438,0.024740769
130,friend,4,0.102706924,0.01066801,0.023735903
130,friend,5,0.10243145,-0.008674135,-0.010371893
130,friend,6,0.108123235,-0.012342492,-0.02120315
130,friend,7,0.112418085,-0.009940822,0.005654361
130,friend,8,0.11793898,-0.022861341,-0.03311282
130,friend,9,0.10882627,0.025213417,0.032007396
130,friend,10,0.11758981,-0.016254505,0.003276722
131,stranger,1,0.09101885,-0.001282223,-0.08919634
131,stranger,2,0.096233696,0.014093748,-0.05380806
131,stranger,3,0.0892703,0.00199712,-0.06886668
131,stranger,4,0.10075036,0.003038178,-0.090941936
131,stranger,5,0.10791502,0.006630364,-0.0879533
131,stranger,6,0.10819527,-0.000880056,-0.07898314
131,stranger,7,0.106919184,0.005423159,-0.07483064
131,stranger,8,0.10333652,-0.023198936,-0.10871588
131,stranger,9,0.09770415,0.003591424,-0.08038527
131,stranger,10,0.10230492,0.001486092,-0.0935938
132,stranger,1,0.1143941,0.01180255,0.08524034
132,stranger,2,0.10618315,-0.008182534,0.07753225
132,stranger,3,0.10701086,0.01917825,0.106961794
132,stranger,4,0.11145535,-0.001638677,0.074259885
132,stranger,5,0.113260746,0.011171774,0.08117654
132,stranger,6,0.12441235,-0.002667645,0.07522765
132,stranger,7,0.11356635,0.006548517,0.09895935
132,stranger,8,0.13480957,0.003178858,0.094517455
132,stranger,9,0.12136418,0.004018148,0.073117085
132,stranger,10,0.11514391,-0.007921447,0.037525386
133,stranger,1,0.117972754,0.007103657,0.114405245
133,stranger,2,0.11022156,-0.005275743,0.08529222
133,stranger,3,0.11189427,0.00348802,0.097499214
133,stranger,4,0.10464775,0.019959686,0.119728036
133,stranger,5,0.12354747,-0.001565586,0.11236611
133,stranger,6,0.12185534,0.015816247,0.11716598
133,stranger,7,0.13226709,0.013380516,0.094652876
